Gene_name,PB_id
142335_at,SMP0087396
142335_at,SMP0087408
151967_at,SMP0087375
151967_at,SMP0087399
152851_at,SMP0087389
154229_at,SMP0087373
154229_at,SMP0087394
154229_at,SMP0087402
154229_at,SMP0087416
154229_at,SMP0121069
34F4T,SMP0087394
34F4T,SMP0087404
34F4T,SMP0087405
34F4T,SMP0087421
34F4T,SMP0087421
3BETAHSD/D2,SMP0121236
4CLL5,SMP0121206
A3G2XYLT,SMP0012030
AADAT,SMP0000037
AADAT,SMP0000186
AADAT,SMP0000239
AADAT,SMP0000063
AADAT,SMP0000527
AADAT,SMP0000528
AADAT,SMP0000571
AADAT,SMP0000719
Aadat,SMP0063635
Aadat,SMP0063693
AADAT,SMP0087203
AADAT,SMP0087237
Aadat,SMP0087300
Aadat,SMP0087330
Aadat,SMP0120484
Aadat,SMP0120526
Aadat,SMP0120592
Aadat,SMP0120593
Aadat,SMP0120635
Aadat,SMP0120651
Aadat,SMP0120704
Aadat,SMP0120746
Aadat,SMP0120811
Aadat,SMP0120812
Aadat,SMP0120854
Aadat,SMP0120870
AAH,SMP0012053
AAH,SMP0012066
AANAT,SMP0000063
Aanat,SMP0063693
AANAT,SMP0087237
Aanat,SMP0087330
AAO3,SMP0002445
AAO3,SMP0012019
AAO3,SMP0012031
AAO3,SMP0012032
AAO3,SMP0012033
aap-1,SMP0087503
AAPT1,SMP0012027
AAPT1,SMP0012048
AAPT1,SMP0014205
AAPT1,SMP0014208
AARS,SMP0000055
AARS,SMP0000352
AARS,SMP0000350
AARS,SMP0000313
Aars,SMP0063586
AARS,SMP0087164
Aars,SMP0087275
AARS,SMP0100356
Aars,SMP0119306
AARS,SMP0119369
Aars,SMP0119462
Aars,SMP0120504
Aars,SMP0120535
Aars,SMP0120543
Aars,SMP0120724
Aars,SMP0120755
Aars,SMP0120763
AARS2,SMP0000055
AARS2,SMP0000352
AARS2,SMP0000350
AARS2,SMP0000313
Aars2,SMP0063586
AARS2,SMP0087164
Aars2,SMP0087275
Aars2,SMP0120504
Aars2,SMP0120535
Aars2,SMP0120543
Aars2,SMP0120724
Aars2,SMP0120755
Aars2,SMP0120763
aars-2,SMP0087425
aas,SMP0000793
AASS,SMP0000037
AASS,SMP0000186
AASS,SMP0000239
AASS,SMP0000527
AASS,SMP0000528
AASS,SMP0000571
AASS,SMP0000719
Aass,SMP0063635
AASS,SMP0087203
Aass,SMP0087300
Aass,SMP0120484
Aass,SMP0120526
Aass,SMP0120592
Aass,SMP0120593
Aass,SMP0120635
Aass,SMP0120651
Aass,SMP0120704
Aass,SMP0120746
Aass,SMP0120811
Aass,SMP0120812
Aass,SMP0120854
Aass,SMP0120870
AAT1,SMP0002206
AAT1,SMP0002302
AAT1,SMP0002434
AAT1,SMP0012467
AAT1,SMP0121209
Aats-ala,SMP0087368
Aats-gln,SMP0087371
aay,SMP0087399
ABA1,SMP0012035
ABA2,SMP0012019
ABA2,SMP0012031
ABA2,SMP0012032
ABA2,SMP0012033
ABA3,SMP0012046
ABAT,SMP0000067
