Gene_name,String_protein_id
A1BG,9606.ENSP00000263100
A1CF,9606.ENSP00000378868
A2M,9606.ENSP00000323929
A2ML1,9606.ENSP00000299698
A3GALT2,9606.ENSP00000475261
A4GALT,9606.ENSP00000384794
A4GNT,9606.ENSP00000236709
A6NM71_HUMAN,9606.ENSP00000365536
AAAS,9606.ENSP00000209873
AACS,9606.ENSP00000324842
AADAC,9606.ENSP00000232892
AADACL2,9606.ENSP00000348911
AADACL3,9606.ENSP00000352268
AADACL4,9606.ENSP00000365395
AADAT,9606.ENSP00000423190
AAGAB,9606.ENSP00000261880
AAK1,9606.ENSP00000386456
AAMDC,9606.ENSP00000307254
AAMP,9606.ENSP00000403343
AANAT,9606.ENSP00000250615
AAR2,9606.ENSP00000363043
AARD,9606.ENSP00000367528
AARS1,9606.ENSP00000261772
AARS2,9606.ENSP00000244571
AARSD1,9606.ENSP00000400870
AASDH,9606.ENSP00000205214
AASDHPPT,9606.ENSP00000278618
AASS,9606.ENSP00000403768
AATF,9606.ENSP00000477848
AATK,9606.ENSP00000324196
ABAT,9606.ENSP00000379845
ABCA1,9606.ENSP00000363868
ABCA10,9606.ENSP00000269081
ABCA12,9606.ENSP00000272895
ABCA13,9606.ENSP00000411096
ABCA2,9606.ENSP00000344155
ABCA3,9606.ENSP00000301732
ABCA4,9606.ENSP00000359245
ABCA5,9606.ENSP00000376443
ABCA6,9606.ENSP00000284425
ABCA7,9606.ENSP00000263094
ABCA8,9606.ENSP00000467271
ABCA9,9606.ENSP00000342216
ABCB1,9606.ENSP00000478255
ABCB10,9606.ENSP00000355637
ABCB11,9606.ENSP00000497931
ABCB4,9606.ENSP00000265723
ABCB5,9606.ENSP00000384881
ABCB6,9606.ENSP00000265316
ABCB7,9606.ENSP00000253577
ABCB8,9606.ENSP00000297504
ABCB9,9606.ENSP00000440288
ABCC1,9606.ENSP00000382342
ABCC10,9606.ENSP00000361608
ABCC11,9606.ENSP00000378230
ABCC12,9606.ENSP00000311030
ABCC2,9606.ENSP00000497274
ABCC3,9606.ENSP00000285238
ABCC4,9606.ENSP00000494609
ABCC5,9606.ENSP00000333926
ABCC6,9606.ENSP00000205557
ABCC8,9606.ENSP00000494321
ABCC9,9606.ENSP00000261200
ABCD1,9606.ENSP00000218104
ABCD2,9606.ENSP00000310688
ABCD3,9606.ENSP00000359233
ABCD4,9606.ENSP00000349396
ABCE1,9606.ENSP00000296577
ABCF1,9606.ENSP00000313603
ABCF2,9606.ENSP00000222388
ABCF2-2,9606.ENSP00000287844
ABCF3,9606.ENSP00000411471
ABCG1,9606.ENSP00000354995
ABCG2,9606.ENSP00000498246
ABCG4,9606.ENSP00000481728
ABCG5,9606.ENSP00000384513
ABCG8,9606.ENSP00000272286
ABHD1,9606.ENSP00000326491
ABHD10,9606.ENSP00000273359
ABHD11,9606.ENSP00000222800
ABHD12,9606.ENSP00000365725
ABHD12B,9606.ENSP00000336693
ABHD13,9606.ENSP00000365063
ABHD14A,9606.ENSP00000273596
ABHD14A-ACY1,9606.ENSP00000490744
ABHD14B,9606.ENSP00000420065
ABHD15,9606.ENSP00000302657
ABHD16A,9606.ENSP00000379282
